10734;"Železný Brod";Úštěk
10903;"Panické Dravce";Doubravy
11009;Lovce;Ľubica
11188;Lužianky;Rakovice
11878;Zlín;Cinobaňa
11885;Dubenec;Jelšava
12160;Žďár;"Vysoký Újezd"
12248;Slabce;"Dlouhá Brtnice"
12480;Kysak;Vystrkov
12744;Lesnice;Řečice
12971;Plaňany;Vracovice
1346;Nicov;"Vlčkovice v Podkrkonoší"
13785;"Vysoké Mýto";Lazinov
14463;Čestín;Havířov
1540;Žeraviny;"Velké Losiny"
16097;Droužkovice;Bolkov
16360;Třebětice;Boľ
16425;Jitkov;"Malý Slivník"
18216;Lascov;Hrdějovice
1895;Trávnik;Otín
1903;Zblovice;"Ostrov u Macochy"
1990;"Malý Slavkov";Hosty
19939;Vlkov;Oreské
20181;Ledenice;Kuřim
20462;Žerotice;Žehušice
21168;Heřmánkovice;Chlmec
21456;Žemberovce;Bojanov
2154;Milasín;Lišany
21674;Nedašov;Motyčky
2205;Ráztočno;Ptrukša
22326;"Spišské Podhradie";Stanovice
23131;Skrchov;Oleško
23303;Nitra;Valice
23311;Chrudichromy;Šemetkovce
23823;Šestajovice;"Moravský Písek"
24068;Nadryby;Sokoľ
24280;"Nový Vestec";"Nižná Jedľová"
24504;Luběnice;"Horní Třešňovec"
24761;Oborná;Úherčice
24796;Majetín;Loket
26142;Lehôtka;Třesov
26314;Borčany;"Branka u Opavy"
26326;Stankovany;Jasenov
26636;"Bělá pod Pradědem";"Nižná Myšľa"
26975;Černík;"Liptovská Porúbka"
27094;Temešvár;"Dolné Lovčice"
27595;Syrovín;Lieskovany
28197;Unčín;Rájec
28543;"Malé Zálužie";Zborov
29095;Radostice;"České Meziříčí"
2987;Dzbel;Sviny
29949;Lesnice;"Svatý Jan pod Skalou"
30029;Malenovice;Čeradice
30977;Blšany;Srnojedy
31671;Dukovany;Hnanice
31847;"Vranovská Ves";Supíkovice
32299;Miloňovice;Vršovka
33138;Svinná;Milejovice
339;Boheľov;"Horní Věstonice"
34852;Osturňa;Krhov
35435;Ochtiná;Záhradné
3579;Dunice;Hořiněves
36145;Žeravice;Smolník
36238;Bajerov;Rozsochatec
36595;"Česká Lípa";Krucemburk
37083;Řimovice;Slaská
37965;Polina;"Dolný Lopašov"
3819;Ráječko;Bohdaneč
38238;"Stará Huť";Žárovná
38932;Přebuz;"Dolné Naštice"
38957;"Komorní Lhotka";Janovce
4003;Rešov;"Horní Radslavice"
40098;Pařezov;Štefurov
40553;"Bílovice nad Svitavou";"Stará Huť"
40831;"Dolní Benešov";Bodiná
42244;Lišnice;Kecerovce
44456;Leskovice;"Kysucký Lieskovec"
44725;Oleška;Libovice
45351;"Bodzianske Lúky";Hokovce
45548;Radimovice;Děhylov
46068;"Ratkovská Suchá";Zahorčice
46830;Strihovce;Kunějovice
47259;Dvory;"Jablonné v Podještědí"
48480;Ševětín;Zvěřínek
49005;Zádiel;"Zemplínsky Branč"
49039;Zlosyň;Radenice
49169;Určice;Střezetice
4936;Motešice;Vrícko
49370;Petrikovce;Tušovice
4966;Žítková;Klenovice
50815;Škvořetice;Jílovice
50856;"Nižná Olšava";Pchery
5156;Vikýřovice;Chmiňany
51722;Litohošť;Hnanice
53192;"Horní Loučky";Linhartice
53455;Předslav;"Veľká Lúka"
53993;Želiezovce;Šaštín-Stráže
5402;Nupaky;Bílov
54946;Roseč;Cvikov
55019;Tulešice;Chotětov
55583;"Horné Chlebany";"Jestřabí v Krkonoších"
56091;Bochov;Mostek
56485;Rozvadov;Snět
57760;Hankovce;"Stará Voda"
58348;Zádiel;Věž
58935;Loučky;Liptál
59154;"Kostolné Kračany";"Vysoká nad Labem"
59235;"Nové Hrady";Oleško
59753;Čáslavice;Litomyšl
60076;Zbraslavice;Domaželice
60441;Slopná;Kněžičky
60659;Libotenice;Budmerice
60780;Klíčany;Spomyšl
61127;"Turčiansky Ďur";Chudíř
61942;Košúty;Urbanice
62026;Petrovo;Útěchovice
6225;"Ješkova Ves";Bohdaneč
62527;Lesíček;"Dobrá Voda u Hořic"
63306;Toužim;Krížovany
63582;Roubanina;Podlužany
64934;Bezdružice;"Nový Hrozenkov"
66940;Křižany;Budča
6718;Hanigovce;Bílov
67352;Hlubyně;Blíževedly
6824;"Pernštejnské Jestřabí";Nespeky
68383;Níhov;Silica
6849;Božice;Galovany
6855;Tršice;Podkriváň
68644;Ludvíkovice;Pacetluky
69070;Buzice;Hlavice
69871;Vernéřovice;Želešice
7014;Svébohov;Turovice
70548;Krmelín;Palota
71474;Prachovice;"Měrovice nad Hanou"
71648;Židovice;"Ruská Bystrá"
71674;Jinočany;"ná Porúbka"
71845;Příšov;"Libčice nad Vltavou"
7185;Krakov;Lenešice
71888;Brhlovce;Dyjákovice
7221;"Sudoměřice u Tábora";Heřmaneč
72253;"Horní Myslová";"Dolné Lefantovce"
72423;"Ostrov nad Oslavou";Troubelice
72860;Kozárovice;Hrabová
73595;Beňatina;"Březová nad Svitavou"
7395;"Malé Chyndice";"Veselí nad Lužnicí"
74002;Rohoznice;Cífer
74162;Predmier;Podmolí
75590;"Nové Hamry";"Újezd nade Mží"
76319;Valentovce;Vlčeves
76393;Hybe;Stéblová
7681;Kraľovany;Farná
76871;Valkovce;"Mlýnské Struhadlo"
76885;Tišnov;Útěchovice
77682;Nechanice;Trstice
78946;Útěchov;Šiba
8014;Střítež;"Červená Lhota"
81418;Pokojovice;Korejovce
8162;"Nižná Rybnica";Milavče
81639;Humpolec;Mratín
81776;Kočov;"Ochoz u Tišnova"
82123;"Nový Dům";Jevany
82556;Jevíčko;Podmoky
82790;Kyjatice;Chobot
83516;"Závadka nad Hronom";Pivkovice
83840;Pušovce;Ličartovce
84498;"Veterná Poruba";Sadská
85024;Soboš;Matiaška
85260;Tvrdonice;Tlučná
85384;Dědice;Pstriná
85390;"Kout na Šumavě";Chmeľnica
85618;Bystričany;Hlohovčice
86108;Hluk;Čakanovce
86126;Bošáca;"Libkovice pod Řípem"
86667;Nevolice;"Žďár nad Sázavou"
86670;"Nižný Mirošov";"Dolní Krupá"
86860;"Malá Víska";Hôrka
87148;Bohuslávky;Švošov
87576;Zbelítov;Kolta
89219;Žebrák;Divinka
89302;Zdislavice;Svrabov
89982;Nemochovice;Ondratice
90195;Vlačice;Podveky
90422;"Sady nad Torysou";Rožňava
90759;Kovarce;Děčany
90905;Všechlapy;Radětice
91436;"Veľké Lovce";Mirkovce
91543;Jihlávka;Malešovice
93563;Jatov;"Suché Brezovo"
94016;Lužná;"Kralice na Hané"
94568;Nečtiny;Lichoceves
94827;"Bartošovice v Orlických horách";Lípa
94908;Petroupim;Cheb
9571;Rybnice;Tábor
9624;"Dlouhá Lhota";Pšovlky
96495;Šléglov;Chlustina
96742;Zábrodí;Býkov-Láryšov
96805;Katov;Kluky
97927;"Zemplínske Hámre";Ladzany
98163;Drnovice;Chotilsko
98660;Rudimov;Lendak
99380;"Kozí Vrbovok";Hamr
